text,label,
"This module will provide an API to perform searches with at least one of IP, GSM no, E-mail and MAC.",functional,
All requests to search API will require a time range.,scope,
This API can be integrated to SMI via a simple UI to let customers to perform their inspections.,ui,
"User-friendly log lines should be generated on the fly, like this:",nonfunctional,
EVENT=IP|IP=192.168.1.1|MAC=aa:bb:cc:dd:ee:ff|AP=ap_name_1|SSID=Faraday =>,criteria,
IP assigned,criteria,
EVENT=PAGE_VIEW|IP=192.168.1.1|MAC=aa:bb:cc:dd:ee:ff|PAGE=/login =>,criteria,
Client viewed /login page,criteria,
EVENT=OTP_SEND|GSM=+15410000000|CODE=234232 =>,criteria,
OTP code sent 234232,criteria,
EVENT=OTP_ENTER|GSM=+15410000000|CODE=234232 =>,criteria,
Client entered 234232 for OTP,criteria,
EVENT=SURVEY_VIEW|IP=192.168.1.1|SURVEY_ID=2323 =>,criteria,
Client viewed Survey 2323,criteria,
"Viewer must return logs in pages
Event List
NOTE: IP and TS (timestamp) parameters are mandatory for all events",criteria,
"Module	Events	Meaning	Parameters
DHLA	IP	OPTION-82 is received	AP_MAC, SSID, MAC
ENROLE
      	ACCESS_REQUEST",criteria,
"Received access request packet	USER_ID
ACCESS_ACCEPT",criteria,
"Access accepted	USER_ID, ROLE
ACCESS_REJECT",criteria,
"Access rejected	USER_ID
SESSION_START",criteria,
"Received session start packet and a new session is created	USER_ID, SESSION_ID, MULTI_SESSION_ID
SESSION_REUSE",criteria,
"Received session start packet and detected previous session still continues	USER_ID, SESSION_ID, MULTI_SESSION_ID
ALIVE",criteria,
"Received alive packet	DOWNLOADED, UPLOADED, SESSION_ID, MULTI_SESSION_ID
ROLE_CHANGE",criteria,
"Role is changed	OLD_ROLE, NEW_ROLE, SESSION_ID, MULTI_SESSION_ID
DISCONNECT",criteria,
"User is forced to disconnect	ROLE, SSID, SESSION_ID, MULTI_SESSION_ID
SESSION_STOP",criteria,
"Received session stop packet	DOWNLOADED, UPLOADED, SESSION_ID, MULTI_SESSION_ID
SMARTGATE	PAGE_VIEW",criteria,
"User started viewing a page	PAGE, URL_PARAMS, SESSION_ID, REQUEST_METHOD
MAC_CHECK",criteria,
"Checked MAC for remembering	MAC, RESULT
ROLE_CHECK",criteria,
"Checked if client has remaining rights in any Role	CLIENT_ID, RESULT, ROLE_NAME (if checked for a particular role)
ACCESS_CHECK",criteria,
"Checked for blacklist/whitelist	GSM_NO, EMAIL, MAC, RESULT
DEVICE_LIMIT_CHECK",criteria,
"Checked if client has reached device limit	CLIENT_ID, RESULT
GSM_LOGIN	GSM login flow started	 
MAC_LOGIN	MAC login flow started	 
FORM_LOGIN	Form login flow started	 
SOCIAL_LOGIN	Social login flow started	SOCIAL_NETWORK
SOCIAL_RESPONSE",criteria,
"Response is received from social login	CLIENT_ID, EMAIL, RESULT, ERROR_MESSAGE (if exists)
LOGIN_SUBMIT	Submitted login form (GSM/form)	GSM_NO, EMAIL, NAME, GENDER, BIRTH_DATE, INTERESTS (etc.)
USER_CREATE",criteria,
"A new user account is created	IDENTIFIER (e-mail/GSM no), CLIENT_ID, USERNAME
OTP_SEND	OTP is sent to client	CLIENT_ID, GSM_NO, CODE
OTP_ENTER	Client entered OTP code	CLIENT_ID, GSM_NO, CODE_ENTERED, RESULT
AD_VIEW",criteria,
"Client viewed Ad	CLIENT_ID, AD_ID
AD_SKIP",criteria,
"Client skipped Ad	CLIENT_ID, AD_ID
AD_CLICK",criteria,
"Client clicked Ad	CLIENT_ID, AD_ID
SURVEY_VIEW",criteria,
Client viewed Survey,criteria,
"CLIENT_ID, SURVEY_ID
SURVEY_SKIP",criteria,
"Client skipped Survey	CLIENT_ID, SURVEY_ID
SURVEY_ANSWER",criteria,
"Client answered Survey	CLIENT_ID, SURVEY_ID
EMAIL_VERIFY",criteria,
"Client verified e-mail	CLIENT_ID, EMAIL
DISCONNECT",criteria,
"Client wants to disconnect	CLIENT_ID, SSID, TYPE (all / single)
LOGIN	Client completed login flow	CLIENT_ID, SSID, AP_NAME, MAC
ERROR",criteria,
"Login flow interrupted via an error	CLIENT_ID (if exists), ERROR_MESSAGE, STACK_TRACE",criteria,
Access Code with Paid Access,none,
"We will add ""Add Free Access"" and ""Add Pricing Plan"" links to the role screen in the SSID, so this screen will change.",ui,
They will look like links but they will act like buttons.,ui,
We will add on / off switch for Free Access.,ui,
"For pricing plan and free access, time + period / quota / bandwidth will be changeable.",scope,
"While adding the pricing plan, user will be expected to enter the price.",case,
"There will be a few predefined bandwidths, only they can be selected.",ui,
We will set pre-defined boundaries for bandwidths.,scope,
We will require a pricing plan to be defined for Free On / Off.,scope,
Free Access and pricing plan can be defined at the same time.,current,
Max 5 pricing plan and 5 free access will be allowed for each SSID.,scope,
"For access code usage, client will be able to choose a pricing plan when creating codes.",current,
"Codes can be free too, but client will not choose a specific free access plan.",current,
"If a paid plan is selected min code length should be restricted to 8 characters, and alphanumeric only.",functional,
The user will still log in an entry type.,current,
"If free access is enabled on SSID, and client has remaining free access right, entering access code will be optional for client.",case,
"If free access is not enabled, or client has fulfilled his free access rights (from MAC remember), entering access code will be mandatory.",case,
"If a pricing plan is active for SSID, entering access code will be optional with a link / button, if client has any free access rights.",case,
"If client logged in with free access, and free access rights are full, he will be redirected to Smartgate and forced to login with access code.",case,
"Faraday Edge can integrate with SES to send email via custom ""email from address"".",current,
"Firstly we should create ""custom verification email template"" then use it to send verification email.",current,
Creating template and sending email with template can be done via AWS SDK or AWS cli tool.,current,
"In a text editor, create a new file.",scenario,
Paste the following content into the editor:,scenario,
"{
""TemplateName"": ""SampleTemplate"",
""FromEmailAddress"": ""edge@faraday.net"",
""TemplateSubject"": ""Faraday Edge - Please confirm your email address"",
""TemplateContent"": ""<html><head></head><body style=\""font-family:sans-serif;\""><h1 style=\""text-align:center\"">",scenario,
Ready to start sending email with Edge?</h1><p>,scenario,
We here at Faraday Networks are happy to have you on board!,scenario,
There's just one last step to complete before you can start sending email.,scenario,
Just click the following link to verify your email address.,scenario,
"Once we confirm that you're really you, we'll give you some additional information to help you get started with Faraday Edge</p></body></html>"",
""SuccessRedirectionURL"": ""https://edge.faraday.net/verifysuccess"",
""FailureRedirectionURL"": ""https://edge.faraday.net/verifyfailure""
}",scenario,
"The FromEmailAddress attribute doesn't support display names (also known as ""friendly from"" names).",current,
Steps,none,
"To make the preceding example easier to read, the TemplateContent attribute contains line breaks.",current,
"If you paste the preceding example into your text file, remove the line breaks before proceeding.",case,
"Replace the values of TemplateName, FromEmailAddress, TemplateSubject, TemplateContent, SuccessRedirectionURL, and FailureRedirectionURL with your own values.",overview,
Save the file as customverificationemail.json.,overview,
"At the command line, type the following command to create the custom verification email template:",case,
$ aws ses create-custom-verification-email-template --cli-input-json file://./customverificationemail.json,case,
"Optionally, you can confirm that the template was created by typing the following command:",case,
$ aws ses list-custom-verification-email-templates,case,
"{
    ""CustomVerificationEmailTemplates"": [
        {
            ""FromEmailAddress"": ""edge@faraday.net"", 
            ""FailureRedirectionURL"": ""https://edge.faraday.net/verifyfailure"", 
            ""TemplateSubject"": ""Faraday Edge - Please confirm your email address"", 
            ""SuccessRedirectionURL"": ""https://edge.faraday.net/verifysuccess"", 
            ""TemplateName"": ""SampleTemplate""
        }
    ]
}
Sending Verification Emails Using Custom Templates",case,
"After you create at least one custom verification email template, you can send it to your customers by calling the SendCustomVerificationEmail API operation.",overview,
You can call the SendCustomVerificationEmail operation by using any of the AWS SDKs or the AWS CLI.,overview,
The SendCustomVerificationEmail operation takes the following inputs:,overview,
Attribute Description,criteria,
EmailAddress,criteria,
The email address that is being verified.,criteria,
TemplateName,criteria,
The name of the custom verification email template that is sent to email address that is being verified.,criteria,
ConfigurationSetName (Optional),criteria,
The name of a configuration set to use when sending the verification email.,functional,
"For example, assume your customers register for your service using a form in your application.",case,
"When the customer completes the form and submits it, your application calls the SendCustomVerificationEmail operation, passing the customer's email address and the name of the template you want to use.",current,
Your customer receives an email that uses the customized email template you created.,overview,
"Amazon SES automatically adds a unique link to the recipient, as well as a brief disclaimer.",overview,
The following image shows a sample verification email that uses the template created in Creating a Custom Verification Email Template.,overview,
Email Source: Faraday Edge - Please confirm your email address.eml,scenario,
Sending email via AWS CLI,scenario,
"$ aws ses send-custom-verification-email
--email-address <value>",scenario,
"--template-name <value>
[--configuration-set-name <value>]
[--cli-input-json <value>]
[--generate-cli-skeleton <value>]",scenario,
$ aws ses send-custom-verification-email --email-address company-email-to-verify@customcompany.com,scenario,
--template-name SampleTemplate,scenario,
"{
 ""MessageId"": ""010001711c1d6410-8794ddb2-160f-4c02-bef6-814b91ad8794-000000""
}",scenario,
Original SES Verification Email Looks like below.,scenario,
(If not using custom template),scenario,
"Sources:
https://docs.aws.amazon.com/ses/latest/DeveloperGuide/send-email-verify-address-custom.html",scenario,
https://docs.aws.amazon.com/cli/latest/reference/ses/create-custom-verification-email-template.html,scenario,
Email Campaigns,scenario,
Special tags to insert into emails:,scenario,
"{{CURRENT_YEAR}}
{{FIRSTNAME}}
{{LASTNAME}}
{{UNSUBSCRIBE}}",scenario,
Following tags will be also available to use in e-mail subject:,scenario,
"{{CURRENT_YEAR}}
{{FIRSTNAME}}
{{LASTNAME}}
Unsubscribe:
All email templates will have a default subscription section in the footer.",scenario,
"If client chooses to remove unsubscribe link, we will not attempt to add it (at least for now)",case,
"When client gets an email and clicks unsubscribe, following URL will be opened: https://edge.faraday.net/email/unsubscribe?nid=<NOTIFICATION_ID>&cid=<CAMPAIGN_ID>",case,
"This link will result in a page, without any design, which shows result of unsubscription request.",overview,
There won't be any localization for this page.,overview,
"Open points:
How to subscribe again?",case,
Should we get unsubscribe reason via a form page?,case,
"If yes, how should we use this data?",case,
Multi  Region,none,
As of Q1'18 Edge supports multi-region installations in master-slave architecture.,current,
These regions have completely different installations and they are separated from each-other.,current,
Each customer belongs to only one installation.,current,
Only admin users can walk-through all regions from dropdown at top-right of the Edge page.,scope,
"When creating a customer account, it's added to region where add operation is executed.",case,
"For login, all users must navigate to master region, which is https://edge.faraday.net .",functional,
"If a user tries to access another region when he's not logged in, or he does not belong to, he's redirected to master region automatically.",functional,
Changes in user accounts and companies in slave regions are reflected to master region for enabling login.,current,
"Changes in admin accounts are not reflected to other regions, but new accounts are sent to slaves.",current,
No other data is shared between regions.,current,
"Notes:
Fill region table in master manually.",ui,
You won't need to fill this table in other regions.,scope,
session_cookie_domain must have the same value in all regions.,functional,
All regions must have the same main domain.,functional,
node_region configuration must be equal to a code value in region table.,functional,
Changes in admin accounts must be done in master region only.,functional,
"Suggested Configuration for Development
session_cookie_domain = None
session_cookie_secure = False",overview,
"node_is_master = True
node_region = ''
node_master_url = ''",overview,
Flow Analysis,none,
"For each proximity or location message, analytics module will publish such a JSON over Kafka to a new module:",case,
"{
  ""session_id"": ""a63abfa32e4fc2"",
  ""timestamp"": 1234325225,
  ""campus_id"": 232,
  ""building_id"": 677,
  ""floor_id"": 2342,
  ""fence_id"": [121,232], //this can be null
  ""client_mac"": ""aabbccddeeff"",
  ""client_id"": 12134, //this can be null
}",case,
Following report types must be generated using  this module:,overview,
Cross visit (Fence / Floor / Venue based),case,
"Given an entity (floor / fence / building), visit rates from this entity to others must be calculated efficiently.",case,
Example: %30 percent of visitors of Starbucks also visited Gloria Jeans.,case,
"Important point with this report type is, if a visitor visited Starbucks and Gloria Jeans even in different days, we will still count it with cross visit report.",case,
"For API, if client chooses only one fence, visits from this fence to others should be returned.",case,
"If client chooses two, visits from first fence to  the other should be returned.",case,
"Fence Flow
Given a fence, visits to and from this fence must be displayed.",scope,
"Important point with this report type is, unlike cross visit, if a visitor visited Starbucks and Gloria Jeans in different days, we will not count it.",case,
We will only count visited fences in the same session.,current,
"For API request, client must choose a fence.",overview,
"This fence will be in the center, and before and after this fence there will be maximum of 2 levels in depth.",ui,
Example output:,case,
Top Paths,criteria,
Must be analyzed over all visitors (with or without client_id) and return top N paths.,criteria,
This should be computed on fences only.,criteria,
"Similar to fence flow, we will count visited fences in the same session.",criteria,
20% → Car park 1 → Floor 1 → Starbucks → Sinema → Food court,criteria,
10% → Main entrance → Food Court → Gloria Jeans → Main entrance,criteria,
Client Specific Top Paths,criteria,
Must be analyzed over visitors with client_id only.,criteria,
"Output is same with above, but on client basis.",criteria,
"Event Management Teknik Analizi
Bu doküman Edge ürünü kapsamında yapılacak işlerden etkinlik yönetimi özelliği ile ilgili teknik detayları içermektedir.",scope,
"Genel Açıklamalar
Bu özellik ile, sistemde etkinlikler oluşturarak metriklerin etkinlik bazında görüntülenebilmesini ve etkinlik raporlarının karşılaştırılabilmesi amaçlanmaktadır.",purpose,
"Tanımlama
Etkinliklerin oluşturulacağı ve listeleneceği birer ekran gerekmektedir.",functional,
"Kullanıcı etkinlik tanımlarken aşağıdaki değerleri girecektir:
etkinlik adı
tarih aralığı
bina (opsiyonel)
kat (opsiyonel)
fence (opsiyonel)
UI Değişiklikleri
Analitik Summary ekranına Bina, Kat vs. filtelerinin başına Event filtresi eklenecektir.",criteria,
"Event filtresi seçili olduğu zaman, sadece Eventte tanımlı bina, kat, fence için raporlar gösterilecektir.",case,
"(Bu alanlar gizlenmeyecek)
Gerekli API’lar
Bulunmuyor
Raporlar
Analitik harici diğer raporlarda fence seviyesine kadar inemediğimiz için etkinlik kapsamında ilk aşamada sadece analitik raporları gösterilecektir.",current,
"Visitor / Visit / Passerby / Avg Dwell time
Zamana göre visitor ve visit dağılımı
Event loyalty
Visit frequency
Engagement rate",criteria,
"Future Works
Wifi ve marketing raporlarının da dahil edilmesi
Event karşılaştırma
Wireframe
https://www.dropbox.com/sh/eyyih17fya451mx/AAAoxCApX6Q3FtPh6Z_VfnZLa?dl=0",criteria,
MSP Mode,criteria,
"Definitions
ISP: Main service provider.",criteria,
(Faraday),criteria,
MSP: Distributor/reseller/partner of ISP.,criteria,
Customer: A person/company who buys Internet service from an MSP.,scope,
Admin: Person who is responsible of managing an ISP/MSP/Customer customer through management interface.,scope,
"User: Person who can access management interface, without admin privileges.",scope,
Design Notes,overview,
We will use the same customer-user design from Spectrum.,nonfunctional,
"Only difference is, there will be a notion of ""MSP Customer"".",current,
We will add partner companies as MSP customers.,current,
"Since each customer can have N users, they can also add their users.",current,
Regular customers are not obligated to belong to an MSP customer.,scope,
"If it will simplify development, we can set admin's id as msp_id in customer table
Each MSP will have its own settings.",case,
We may limit fields that can be edited by an MSP.,nonfunctional,
Each MSP will have its own region.,current,
It will be set by admin only!,scope,
It will not be changed after MSP is created.,current,
Any user cannot do anything that will affect other users which are at the same level.,current,
"For example, an MSP user with user management right cannot change permissions of another MSP user, but can change permissions of a customer user.",case,
Only exception is having is_admin=true at customer_user table.,case,
"Permissions
ISP
ISP Admin
Can do everything, for each customer & MSP",criteria,
ISP User,criteria,
"Can do everything (except modifying settings), but restricted with given permissions.",criteria,
"MSP
Analytics, marketing and availability of  other future add-ons will be changeable by ISP.",current,
"Cannot have its own SSID,  Venue.",overview,
"Can have its own AD, Survey
Will have an admin account on Zone, but will not have a campus.",overview,
Will see reports of own customers only.,overview,
"MSP Admin
Can do everything, for its customers & MSP users.",overview,
"Can modify settings, though MSP settings will be different than system-wide settings.",overview,
"Will have full permission, its permissions cannot be set by ISP.",overview,
"MSP User
Can do everything (except modifying settings) for its customers.",overview,
Its permissions can be set by MSP admin or ISP.,overview,
"Customer
Analytics, marketing and availability of  other future add-ons will be changeable by ISP or MSP.",overview,
Cannot read/write settings.,overview,
"Customer Admin
Can do everything, for its users.",overview,
Cannot modify settings.,overview,
"Will have full permission, unless its permissions set by MSP or ISP.",overview,
"Customer User
Can do everything within permission limits.",overview,
Its permissions can be set by MSP admin or ISP.,overview,
Its permission can be at most equal to admin user's.,overview,
"Flow
ISP will create an MSP account, both on Edge and Central.",overview,
A new ap-group must be added as well.,functional,
"I assume that Central does not allow creating MSPs via API, hence this should be done manually.",current,
(?),none,
Creating an ap-group can be done via API.,current,
MSP can login and create new users.,current,
Users will be created automatically on Central via API.,overview,
Created users will be under the same ap-group for each MSP.,overview,
(?),none,
"For Zone, campus_ids of created users will be under both ISP and MSP accounts.",overview,
Software Requirement Analysis for Feature: Real-Time Notifications,purpose,
"1. Introduction: The applying software needs a new feature incorporated, namely Real-Time Notifications.",purpose,
The purpose is to alert the users immediately about any new updates or actions within the application.,purpose,
"2. Feature Description: The Real-Time Notification feature should enable alert mechanisms within the application, allowing users to receive instant updates on Task Completion, New Messages, Alerts, and Updates.",scope,
It should prioritize notifications based on user preferences and interaction.,scope,
"3. User Requirements:
 a. Notifications are to be displayed within the application and should not distract the user from the main task at hand.",functional,
b. Notifications must reflect immediately after any changes or updates in the system.,functional,
c. Preference settings should be available to users for enabling/disabling notification sounds and visual alerts.,functional,
4. System Requirements:,nonfunctional,
"The system must be capable of processing real-time data efficiently, ensuring immediate push notifications are sent out as events happen.",functional,
"5. Functional Requirements:
 a. The system should be compatible with existing database systems to retrieve updates.",functional,
"b. A triggered event should create a new notification, which is then delivered to the target user.",functional,
c.,none,
"There should be a mechanism to mark a notification as read or unread, deleting notifications, customizing notification sounds, and enabling/disabling certain types of notifications.",functional,
"6. Non-Functional Requirements:
 a. Performance: The notification system should not slow down the application's primary operations.",nonfunctional,
b. Scalability:,nonfunctional,
"The system should accommodate an increasing number of users, considering the potential growth of the application.",nonfunctional,
c. Robustness:,nonfunctional,
"The notification system should handle any exceptions gracefully, without disrupting ongoing tasks.",nonfunctional,
"7. Constraints:
 a. Technology Constraints:",overview,
The current system's infrastructure may limit the capabilities of the notification system.,overview,
"b. Legal Constraints: Depending on the jurisdiction, there may be privacy laws restricting the content of push notifications.",overview,
"8. Data Flow:
 a.",overview,
An event triggers a notification within the system.,overview,
b. The notification system pushes the alert to the user in real-time.,overview,
c. The user interacts with the notification (open/read/dismiss).,overview,
"9. Assumptions and Dependencies: 
 a.",current,
It is assumed the existing application can support the new feature.,current,
b. The implementation requires a reliable network connection for data syncing.,current,
This analysis serves as a starting point and it can be fleshed out further as we move forward with defining the final architecture and design of the new feature.,current,
Software Requirement Analysis for New Feature in Existing Application:,purpose,
"1. Feature Identification:
 The feature being added is a multi-language support system for a news reading application.",purpose,
"2. Purpose of the Feature:
 To increase the international user base of the application by providing news content in multiple languages, strengthening the application's market position.",purpose,
3. User Requirements:,functional,
"A usability requirement is the easy switching among languages, having a user-friendly interface to shift between languages, and providing quick translation of the latest news content into the chosen language.",functional,
4. System Requirements:,functional,
"This feature will need a robust and efficient translation mechanism, either built-in or through the use of pre-existing APIs such as Google Translate.",functional,
The system should support real-time translation and caching for offline reading.,functional,
"5. Security Requirements:
 Users' language preferences and other related data should be stored securely to prevent data breaches.",nonfunctional,
"If third-party services are used for translation, secure data transfer protocols should be implemented.",nonfunctional,
6. Performance Requirements:,nonfunctional,
The news translation should be fast enough to facilitate a seamless user experience.,nonfunctional,
The application should not lag or freeze while translating or loading the translated content.,nonfunctional,
"7. Constraints:
 Limited language support due to the lack of accurate AI translation models for certain languages could be a potential constraint.",overview,
Another could be the increasing demand on server load due to the translation process.,overview,
8. Verification and Validation:,overview,
"The feature should be thoroughly tested to validate its accuracy, performance, and user satisfaction level.",overview,
Use diverse language base for testing to ensure the efficiency of translation.,overview,
9. Adaptability and Scalability:,scenario,
"The feature should be flexible to add more languages in the future, scalable to cater to a potential increase in the number of users or frequency of use.",scenario,
10. Interaction with existing features:,criteria,
The new feature must blend seamlessly with the existing application.,criteria,
The switching mechanism should not interfere with the user's flow of reading the news article.,criteria,
11. Cost Analysis:,current,
The cost of developing and maintaining the feature may be offset by the potential increase in international user base.,current,
"Also, the potential need to pay for APIs if free alternatives can't cater to the demand.",current,
Software Requirement Analysis for New Feature: In-App Voice Recognition,purpose,
1. Functional Requirements:,functional,
a.,functional,?
The existing application should support a voice recognition feature that enables users to interact with the app without tapping or typing.,functional,
b.,functional,?
"The voice recognition should understand and respond to multiple languages, accents and dialects with an accuracy above 90%.",functional,
c.,functional,?
"It should convert spoken words into text and perform actions accordingly, for example, setting reminders, sending messages, etc.",functional,
d.,functional,?
The voice recognition feature should be able to operate effectively in variable noise environments.,functional,
e. The feature should incorporate an option for voice feedback in response to the user's queries.,functional,
2. Non-Functional Requirements:,nonfunctional,
a. Usability:,nonfunctional,
"The voice recognition feature should be user-friendly, with its availability in all sections of the app.",nonfunctional,
It should offer an easy-to-understand tutorial for first-time users.,nonfunctional,
b. Performance: The voice recognition feature should respond to commands quickly (within 2 seconds).,nonfunctional,
Its performance should not be affected by the speed of speech or accent of the user.,nonfunctional,
c. Security:,nonfunctional,
The feature must ensure that all voice-related data is secure and not accessible to third-party vendors without user consent.,nonfunctional,
It should comply with all data protection regulations.,nonfunctional,
d. Compatibility:,nonfunctional,
The voice recognition feature needs to be compatible with different devices and platforms.,nonfunctional,
e. Scalability:,nonfunctional,
"The feature design should account for future upgrades, including supporting more languages and dialects.",nonfunctional,
3. System Requirements:,functional,
a.,functional,?
The voice recognition feature requires integration with the existing application.,functional,
It must run seamlessly without causing lags or crashes in other functionalities of the app.,functional,
b. Backend infrastructure is required to process and analyze voice data.,functional,
Real-time processing technologies may be necessary to achieve the required speed and performance.,functional,
c. Necessary hardware such as microphones should efficiently capture voice data without loss in data quality.,functional,
4. User Requirements:,functional,
a. Users should have the ability to turn on and off the voice recognition feature in the app settings.,functional,
b. Users should have the option to delete or retrieve their voice data history.,functional,
"In summary, this analysis provides an overview of the essential requirements for introducing a new voice recognition feature into the existing application.",purpose,
Further detailed specifications and design are required to implement these requirements.,overview,
Title: Addition of Task Automation Feature in Existing Project Management Application,purpose,
1. Introduction/Background:,purpose,
The requirement is to add a task automation feature to the existing Project Management Application.,purpose,
"This feature shall enable the application to automatically schedule, organize and manage tasks based on predefined rules and triggers set by project managers or team leads.",purpose,
2. Objective:,criteria,
"The main objective of this new feature is to save staff time, streamline task management functions and improve productivity.",criteria,
3. High-Level Requirements:,functional,
3.1,functional,?
The application should allow users to define rules and triggers that automatically create and assign tasks.,functional,
"3.2 Users should be able to define specific conditions for task auto-creation, such as deadlines, project phases, and dependencies on other tasks.",functional,
3.3,functional,?
The feature should provide an option to edit or modify set rules and triggers.,functional,
3.4,functional,?
The application must send notifications to the concerned individuals whenever a task is created based on an automated rule.,functional,
3.5,functional,?
The application shall provide a view where users can see all the rules they have set up for automation.,functional,
3.6,functional,?
The application should track the tasks assigned via automation and provide reports.,functional,
3.7,functional,?
The system should incorporate appropriate security controls to safeguard the user data.,functional,
4. Functional Requirements:,functional,
"4.1 Requirement 1: Task Scheduling
4.1.1",functional,
The system needs to execute predefined rules to automatically create tasks as per schedule.,functional,
"4.2 Requirement 2: Task Assignment
4.2.1",functional,
Users should be provided with an interface to identify and assign automated task beneficiaries.,functional,
"4.3 Requirement 3: Task Management
4.3.1",functional,
"The application must provide an option to create, delete, or modify rule sets for task automation.",functional,
4.3.2,functional,?
The system must trigger notifications against automated tasks.,functional,
4.3.3,functional,?
The system shall provide real-time status updates for tasks auto-assigned.,functional,
"4.4 Requirement 4: Reporting and Tracking
4.4.1",functional,
A reporting tool is required to analyze the tasks assigned through automation and their success rates.,functional,
5. Non-Functional Requirements:,nonfunctional,
5.1 Usability:,nonfunctional,
The user interface must be intuitive and user-friendly to set rules for task automation.,nonfunctional,
5.2 Reliability: The task automation feature should consistently perform under given conditions.,nonfunctional,
5.3 Security: Data integrity and security should be maintained at all stages of task assignment and tracking.,nonfunctional,
5.4 Compatibility:,nonfunctional,
The newly added feature must be compatible with all current application functionalities.,nonfunctional,
5.5 Scalability: Provision for extending the feature set should be considered foreseeing future expansion needs.,nonfunctional,
6. Constraints:,overview,
"These might include hardware limitations, time contraints, incompatibility with other processes, and data sensitivity.",overview,
7. Assumptions and Dependencies:,current,
The quality of task automation largely depends on the definition of rules by the user.,current,
"Additionally, the feature will work ideally if all other dependencies such as notification system, task tracking modules etc., are working perfectly.",scope,
8. Acceptance Criteria:,criteria,
The final product must be able to successfully automate task creation and assignment without causing any disruption to the existing functionalities.,criteria,
The new feature is deemed acceptable only if it meets the requirements stated above and passes the testing phase.,criteria,
Software Requirement Analysis for New Multi-Language Support in Existing Application,purpose,
1. Introduction,purpose,
"The purpose of this requirement analysis is to extend an existing application, XYZ platform, to add a new capability - a comprehensive multi-language support.",purpose,
This new feature is aimed at enhancing the user experience by offering increased accessibility and functionality to a global user base.,purpose,
"2. Functional Requirements 
2.1.",functional,
"The application should support at least ten languages - English, Spanish, French, German, Italian, Chinese, Japanese, Portuguese, Russian, and Arabic.",functional,
